Source: https://sealevel.nasa.gov/ipcc-ar6-sea-level-projection-tool,
"Sea-level projection 2100 assuming intermediate GHG emissions (SSP2-4.5, CO2 emissions around current levels until 2050, then falling but not reaching net zero by 2100)",
,
location,sea_level_proj
New York,81
Miami,71
San Francisco,53
Seattle,35
Bangkok,168
Fiji,60
Tokyo,40
Cape Town,60
Mombasa,60
Mumbai,46
Rotterdam,65
Buenos Aires,52
Lima,47
Rio de Janeiro,57
Panama City,62
San Juan,64
Dakar,57
Athens,37
Riga ,54
Shanghai,81
Sydney,53
Honolulu,66
Singapore,50
Manila,112
Auckland,57
Perth ,58
